headline,link,source,region,published_at
"Fragile thaw between Iran and the UAE shatters amid renewed tensions","https://news.google.com/rss/articles/CBMi2gFBVV95cUxNYjJlLVFEbVM5R3V6WDd1WHMxaFNIQU1WeGNkUmZ5cVowVUdzbGtqaHFoeUpFRFVYdmdBeXNWVzlEYTFEaHlMRzU4UXNKTm1yZ194ejlkYTJ4R29SSE5EOHkzd2RvbkxVNjZPZUFac1V1c05BU1dOWnlfeVZZcFY3dHdncm84SlhxRElrMFBxZzlza0d0Vk1wR2NfVk5acFR5SkJjdktkUFlDVUc0X2dNY3NOdGxNaGh2YjlGbUpvYW1RRFBNR0JhVU9PY3dzVGJlSzhzZWVPZVhqQQ?oc=5","Le Monde","Europe","1787358780000"
"Iranian president says time to end war with US from ‘position of strength’","https://news.google.com/rss/articles/CBMipwFBVV95cUxNVnVBTDRFNUJDb1N1LXZiT2F3ZkVyUW5yRUpRZ1NIMlBDT01BdklNQjZQc1FGdDA1YkJwNXNuSzh5NFA2cFhIYmhxZVVRUEZtc0VoSldyR1hLazYzLXJNOE1zU1YzZVlPYW1YVlpnRFBDT2Y0bW5VUUVXdHBpSTVEV0Nsbk1QclVBMm9hcE9pVGVfWFppZjZUeG9KMzZZSWJZaU43T3UxVdIBrAFBVV95cUxOd0QzVnNsU0puNS04Q2JwSnc0cGVuVTlmbFZuUDhaTC1HenMyYW5fV05jbGxIZ0F4OXppWkh6elFWbHg5ZUJMOXpPRFdBd2QwUVZZWmhPZldFbzNkSWN1UHE2eUMyVnVOT1JxS1FhaTdPbTM4amtWY1dwUTNoN1BHNzVRekZnRHpCZW1JYXdBQnJKV3Q0TTdMWWY0NHZGbVVzSk5YaERmajByRzlr?oc=5","Al Jazeera","Arab","1787360392000"
"Oil tankers going dark to evade Iranian attacks raises major oil spill risk in Gulf - report","https://news.google.com/rss/articles/CBMiXEFVX3lxTE5VY1NyRWF1ejhQaG5Gck9KTjYzazVSdFdiaHY4QTVrWXdVeFhGaUl4QUZwam9ZY0pOMm5zZHpOTF9nVXlXOGdQN3hDM2JkMU9lMmxfMkNvWmtRZVVp?oc=5","The Jerusalem Post","Israel","1787360209000"
"US, Iran keep up hostile rhetoric ahead of new sanctions","https://news.google.com/rss/articles/CBMiqgFBVV95cUxOdXVJYmgzQ2hHN1JlVkg0MFl5eU1hVWtYWTN2OFNvUFV3b3NoS053LTdCMDVWNTBZMEdhUDV3ZEQ3QXBBYnpNRDZST0l3amt6V0luVGtJek1aZnlPZVpwMndfY0VjemxrTWxsdUlZQkZxMU03SHA4LXJ2OVdSemltdzJfUGJseElLR3BCUjlFT1JIcXdhUW9CZU1xdVctMEFjN1B5ekl0cmplQQ?oc=5","Reuters","Global","1787360700000"
"US says it has redirected 68 ships in its blockade of Iranian ports","https://news.google.com/rss/articles/CBMiswFBVV95cUxOWkpMN3dpNTAtOHBsUlJuRnpMaDdhbDhvT1o1UEQ5Xzk2OUFuNUpkMTBmRVRlcnlYQlhzbnM0QmZibE81bXNrTTVwaGowTEhsRFkxN3BnTm5KX1BETXNrejluQXZZX3BJVHZCQVlKTVZ4S1Zja3lZUEp0MkJqQlhBV3BFWTA4T3NaVng4WExxU1RtZFNXYWxwM0VvLWEyVU9xU1JOa3ZEbG9xa0g3ZjdTSXE2UQ?oc=5","The Times of Israel","Israel","1787362779000"
"Trump says Iran not ready to make the 'right deal'","https://news.google.com/rss/articles/CBMiigFBVV95cUxQZkE4c1c1VnV5andnTlRHdHRKN0RXLVlfRWhSNWhMbUxTMlBpeWhjM25PSnVOczZ4dGQ1Z2FScS1KTUY5eDhjNWJ0MmRkT2dYNjZnYkszcjNnRE5JbE5CMVNZMXZwN2RmdGloVDlsbWFwTUJEM2x3QkJLbXVnRlQzaktENnZrVnY4aXc?oc=5","Dawn","Pakistan","1787364186000"
"Iran war live - Al Jazeera","https://news.google.com/rss/articles/CBMi0gFBVV95cUxPdnJpMHl2ZVgxbzNPNU5Nai1hdFRBSTRlZnZaU29ZNEtKY3hJaENhZGMzU1R5SkQ5MXNaWTVCOTJkSlhpZ2V6X2tTUWFCcmd2T0piQnNDZGVQTWFoejgtRHIzek45UjUxU21nWmxpd0dqeGQ4b1ZoaXJ0NFRSWEtnN1M3Z2lRQXdXNVg2TU5XSWM4b3FuZ3pXd08yZm1mUjgwcjhlOUduYUxZcHMzcVR6aC1BY2VVcTBfTVFBb1FQdjRrNnJzZDN5VUo0WFNHZDlwS3c?oc=5","Al Jazeera","Arab","1787362858000"
"Reuters Iran Briefing","https://news.google.com/rss/articles/CBMi0wFBVV95cUxQTnBCS1haZjhSckVUZkpwVDFNUERVNzVtaTFpeDQzeHpvN2YtQTV0VXRLc0xDVmJ1R1Bwak5jZjFrS2R0Y2tIUkJjV041eEZXaDVGd3RvRzhrWTMwY016ZFFabmdRV2RmMjVrcDV4VE9zMTRaRUp1dGVTNW1IVWNDdGtQZEpRMG9Ed1lCTTk1MFJuTVNMZ05WZ1RvTGV1blhCRDVJcEE5VTVLbEttQXFMUWtlUXloTm5PU0FmWHBrOG9Sa3luWXFWeWFpWnBncjdyOXFR?oc=5","Reuters","Global","1787364780000"
"Iran slams US declaration of new economic sanctions","https://news.google.com/rss/articles/CBMijgFBVV95cUxOLXZKMGNnZlVFTURtTFhZLU9kUEVDM3pFVHkwdWJYcDY0c01fU2t5VncwNVZnNktjMzF6ZDlhS3dieXpxdDZ0MlZJMm15VXhQOTlPanFfNkZ6cDZzZ2M4dUk1S0czNGdHdWRSbWp6TVFFNWxveVBnNTVaVkhEeDdIMF9rR0tFZlZjRkxxcEFR?oc=5","Dawn","Pakistan","1787367875000"
"Trump: ‘We’re seeing what happens’ on sanctions for Iran","https://news.google.com/rss/articles/CBMitgFBVV95cUxPNDdHam5BNW9ObzFRZnhaeUVuVXRjN1JSNDltUGVlOThLeTNqR0ZmY2w5OG9YenE5eGxYTEx6MlJ1QkF2ZF9XbGpfUFZCdHQ4WjhiNkloVjNjQmRYN25MS3gtVXlCVkpEcmlXbURQMm5HMU1zX002OHBRODByQ0tsYkU5UnpXU2FfLXNmZHU3ZFhMT2Y3WmdUV0V0OS10WmhCZ29jODdWX2NNdGxyVW95bGZmUjNud9IBuwFBVV95cUxPMFI5Zk9jTFpHdlMwZDVaaFdYTk1uUFZWZG85SVRla2RRTXZxUHJlSkVDS1M2UF9RczJtOXU0bTFrMTN0OHNjYmwwdFdZYWxnZXRDbTdlcV9DYlFNNFBrQVFZOVdMS2tkSEZhcDZNRU5TZWNRdmp0NEFiSkdodDJ0NlREbU0zZVBrLXhUV09IQXRhVDBRVEFIZV9UZDdOVy1QZ25xem9VZWFXd2lURWhsakxScl9kWjUycktn?oc=5","Al Jazeera","Arab","1787367436000"
