headline,link,source,region,published_at
"Iran says it awaits US response on seven-day roadmap to end war","https://news.google.com/rss/articles/CBMipwFBVV95cUxPRnVpY3RpelFjOUdTUl9uajZnRFBZbXdfV3VOR05IZFlnUnJ0cUlSR3pucnFXRXlEdHpMNzRLSkppTjItRWtlTEVrdlp5eXZBaDNjVzQ2OEhKbGZRak5RdmJqVWotTHlVaFozMnNTeG1OWkVqbWZpMVFDdFQ0Mk5XZzFtSnRXMU1CS3o2OE1hbVQwUVhIVXAwWjdkaUFwQXNGZExqMFVEc9IBrAFBVV95cUxNVDQ5M2k2Y0lqNlFkS3F0ajg0bzRYemRVZzZTVHlVaDdTNW5qbnNZX0ZnRTlPNmdaNHh4OWJlVFRnZlkwNUFzb3VPLV9uYlRrOFlyZ2pFc0s1bUQxaWhUS2F6VnBvWXhMVWYxWF9vLWpscGI5Q1BIeXpvNmp6ZTlYVU5mMTk0SGhvVUprNFpKTWJKV1NVRV9iNTFSSkJxeEMwczR3RzVFeVF4dWps?oc=5","Al Jazeera","Arab","2026-09-26T00:00:00.000Z"
"Tehran puts onus for ending war on US","https://news.google.com/rss/articles/CBMie0FVX3lxTE0zQlYyUmhEQmV5b3ZJOTNPYXA2QjVHQ1gwQnFjTTFjVXk5eFNYUGJKOWQwNUg2bFV1MzNRN0swOGpGOE00aTBicEJiVHdnMjB5cjlkT1RNMFk5MnhDc2wwNXFJSHA5QnFkUkJmWFVhcFdhajBoclE0SDFOZ9IBTkFVX3lxTE1FdDNwSlpzMWFlRWZnU2hnU1VUMjBadWF2MUhGdlZ6a2YyTWRIRWc1VGFQT2JlQWhWN2w5OGxVQU80QU9xM1o0Tnh3cjNUdw?oc=5","Dawn","Pakistan","2026-09-25T23:59:17.000Z"
"Iran Offers U.S. Seven-Day Plan to Reopen Hormuz, Rules Out Nuclear Concessions","https://news.google.com/rss/articles/CBMimwJBVV95cUxOb2ppRk5rYXAzaWdEaVVRUnUzMVctTlp1MlNkdndjX2wzTndWdVV5cUswMHoyTzVZU2IyWFd1ekoxTmdBY2JkR3B3TFZkQmVOdWJ4VGVYMFdodTRJU2RSNnhJQ09EVUJfMFNqeDllY3BtWGNkblotWU80aDNIaXc5TmtjWjh1SG5pdFZfd1IwaXNlbWZwb2R0aWdWV3Z4dzVhSE1mTmI5R0owV2l0Mm5BdzlyUDlDYmVGMHNKMEI3UmJFaFlhenVqaFJJdWplNkNvVzhfRnc3anItM2ZSbzlkTnJWRmFOamNaYkdXQThuUlhvLVdubW94XzhpYkZhcmV5U3YyalRDY1gwbl8wSWtVWG5jV0tfYUR6b0Rn?oc=5","Haaretz","Israel","2026-09-25T23:54:00.000Z"
"Iranian MFA: Seyed Abbas Araghchi, the Minister of Foreign Affairs of the Islamic Republic of Iran, and Faisal bin Farhan Al Saud, the Minister of Foreign Affairs of Saudi Arabia, met Friday.","https://news.google.com/rss/articles/CBMibkFVX3lxTE82cFU1SGdwaFlFdGNscU50U0RHLXFsOWdvR0pxb01XaWFQZFdOQ21RQ1dRS2VNamZ1bTQ2QWZCTklOd2liU0Q2RE5abmwyaldHSXU5RThqT3Q5cVBLZEtEbzV2R0hmRllfbnpiWGVB?oc=5","CGTN","China","2026-09-25T23:46:05.000Z"
"3 Iraqi airports suspend flights from Iran","https://news.google.com/rss/articles/CBMiggFBVV95cUxOY3UzM3YwQmxTaDkwUWFKMGhwaGtLQ1UyRlhVV1RzOG5YaTVtOFplS3RqaDl3RDQzcUpPNUpFM1ZuSGdzdU84d25DNURTaGMyalFzdnlYa1FXak1GeDFTNURjZkdPUF9CbWlTUWJxbUx6clRiQXBIb2xxOVdndDh3QWdn?oc=5","Dawn","Pakistan","2026-09-26T00:00:50.000Z"
"Iran to reopen Strait of Hormuz within a week if US agrees to plan - Al Jazeera","https://news.google.com/rss/articles/CBMi0gFBVV95cUxPTmFoSDl2ZzFaZzM5cHRlYlRsaW9veExiQUJKWTAzOEE3cTF1WXdWS3pPSklqa1VyWkJtWjVZbEE3enpXMWUzRlVnMEdrdUxZaExMcy1wblhfdFFIVU1DWG5yd2NLT0d6TTB6V2JrYzJ5Z0ZKcFVyYU5ueS1MWURjampOQWhmWFl3a1d5Y0RGTlRkWkRXX1QydjlPMEZnWXhZWUloVlVCb2s0bmI3eU03N2llVUIwQ1NHcXNUOVBzQkVZOTFMVXJSV3U0V1NkZnpaWXc?oc=5","Al Jazeera","Arab","2026-09-25T23:42:32.000Z"
"Exclusive | Trump Rejects Iran Ceasefire, Expects Renewed Bombing After Midterms","https://news.google.com/rss/articles/CBMitAFBVV95cUxPbGVxM0NSSkVPVjdHTGNlUHBLbTdGTmh3OWZsTFRXVGVReHZGWmxEM2xjdUt4Y25KMVVyYlJ6WkdKZFVWdEFSVzFmcGx1X2lKTjd0MmxLak01UzgwYU5Iek1zazA1RzlhRXE0cGdhQzNtNFpUTVdhTWQ1Vk5DMWFxbHNEVTFLMTJRUFBFZjRNNU1UaHFoaDZqLWotX1RvUEhCVVotMElmMDdCRHB2RWFQVjMxNGs?oc=5","The Wall Street Journal","US","2026-09-26T00:26:00.000Z"
"Trump rejects Iran ceasefire proposal, expects to renew strikes after midterms — WSJ","https://news.google.com/rss/articles/CBMixgFBVV95cUxOOTlSRjFWOElPZktncVl3RG1WdUx5bUFqczlkcmNObW9ST182Mm01TE9Wbms0dHIxTVlRb3RHM09CUjZ1WW0wQk0xc2ozOGlYQUU0NWh1SV9FZWhvSVFSaDVpLU5xN0xCeFVnUzUyOWhGTy1nTGoycllpUnkwaFZybi1lNlphZm9fb054NHo0UEh5RTRuYVhzZl9ER19pRnpyVEdJOGMtLUZkUjhyYTV2TkViOG1MQnNzRDZQNXlnUVNNRHhXeGc?oc=5","The Times of Israel","Israel","2026-09-26T00:47:35.000Z"
"Donald Trump reportedly rejects Iranian seven-day ceasefire proposal","https://news.google.com/rss/articles/CBMiakFVX3lxTE9pTXFRM3JZMzRhWThad1JCQmhtUWo3TFJFSmd5V3RSV21nbm9mZ3dyVFVvX3IwYk4zY2NsTzRoNDBMY080UDlHUWtuOGFHNmdFRGktWnFmZnBDUzZ6VDhoeHNkMXVtNmVDanc?oc=5","The Jerusalem Post","Israel","2026-09-26T00:40:46.000Z"
"Trump rejects Iran ceasefire, expects renewed bombing after midterms: media","https://news.google.com/rss/articles/CBMifEFVX3lxTE51ZUNEOVB5VEdwSXZiXzZnOGZyUURYWlFJNHJ1Rnd5aXpza1NHeW5sNmthdFJXd3BFNGM4TG9XeWhxTDhwckpTa3RDTVdyeUxiVjFoaUJKMDF3cWVnYjU1OS1jRHAyZHNSLXNmXzZlVmhSaWRCclphNlVDWXA?oc=5","Xinhua","China","2026-09-26T00:37:45.000Z"
"Trump rejects Iran’s seven-day cease-fire proposal – new airstrikes ‘likely’ after midterm elections: report","https://news.google.com/rss/articles/CBMi4gFBVV95cUxQYl9Eb2FzbWstU1VyVmtSOXBQNkZTRTYtMEpuM2lOTTFidkxObmE4b3FQREhMdlRMUkZzWkgxckxnb2lJMEZna2x1ZmdwdFZtdWhFanEtcjNKNXVNOTRaOEhuOUNUZ3R5c3JSeUVyQnlWa1hIb1hXT2lxTm53VUh2a2dXOF85WkMxOGxRQ2lGbHN0Y3haaTc5bzU2TjNIeS1qTnBob3IyTC1HNDdyMFNxMU5nWGNKMk5GWUtzczR1cjRadFVJOUxEZkI3RXZUa0t4eS1rX1J5SDBQdGszMVRsLXdn?oc=5","New York Post","US","2026-09-26T01:13:00.000Z"
