headline,link,source,region,published_at
"Pete Hegseth pressured F-15 crew over CBS '60 Minutes' Iran rescue interview","https://news.google.com/rss/articles/CBMiZEFVX3lxTFBnRENxczUwekFqYzlsR0FuVlBGVUVndGVfbWRFMFRSQWxxaXRqMl9YdlBKZjc0WlM4dXJ2ZXBWenhZdlA4SVJjS3h1QzZYTkVwUzhvVEQ3bmFBY3ZMNjUyQmJQQUo?oc=5","The Jerusalem Post","Israel","2026-09-13T13:45:48.000Z"
"Iran's economic ties to Dubai hard to break despite Middle East tensions","https://news.google.com/rss/articles/CBMiqAFBVV95cUxOM29DaTlfa0pwZGQ5TmJpM3lLc1RLcFNLREZld3A2NkU0aTYwMnBJZjZRajQtRTNmR05ocy1EbkFaRnpYMUNEOEVuSk1HckM3MHVDNkFubHVhbWVwdjJ5cFhlWlMtVlIwLV9oR3M2VXpBY3NvOHY3elNQaGFKeGxMUHkyUGpOMzR3bFBDLTlKbjBPZjduaEZRa3hiRW9aZ1d5RzBXR0Y4cVfSAU5BVV95cUxOV2JYVTUyREhUZ3hlRElreEI1Wks5Q3F5UHk3R0xwQmhCU01PZ2t0WHhObzRxNzB0UVhiM0FzNkF2VTRDb1dMOXhpNnhPMWc?oc=5","Dawn","Pakistan","2026-09-13T13:40:53.000Z"
"Tehran says boat hit in Hormuz was Iranian commercial vessel","https://news.google.com/rss/articles/CBMiqgFBVV95cUxNckctQzZfbnRYdWpvem01dGNpZlJxcmFBejNwTVJfWEhyTEtjeTl4aks4MU9xOGdnRFdIOVd2Zm5LUGlNQ2puWWxiVWVabmZUdFpnei0wOE5fSjgwMlp4S2YwOHJwNE42Uk1fWGdKUWFWbUpkbjV6NmFmejlaMUZObDVBcGtITDk5eHBXRTRyN3hUSmhHSG90VEJWQVE4ZTctZG1MSmw5VzhYUQ?oc=5","The Times of Israel","Israel","2026-09-13T13:40:28.000Z"
"Yemen: The Houthis test Iran's regional influence","https://news.google.com/rss/articles/CBMilgFBVV95cUxQUG4xdElhcERPTnZQYnVLTjVVOEl1SS1oX0R4dkRPaGR5WEQxVmM1WGhTWHhzS3I5N3J0NzRaekM4YklHRzBWSFhZVzk4X2xMa2xEY0l1d2tUWnAzLWlmcE40a3Y2TjhRUVE3RFdheVZqSkZkbm1WYkdITHR4cDhYS2RzQmd5OFZWM1pTUFFNZjkwQnRRZVE?oc=5","France 24","Europe","2026-09-13T13:07:15.000Z"
"Live Updates: Latest from Israel, Iran, and the Middle East","https://news.google.com/rss/articles/CBMif0FVX3lxTE1PMVd2dm1YcjNuMUZHNzVkS1I1bC1pM2QzTFlkNEJPMXhWWE9ITHNwMFNpM2NydTUxYkpYeUs2Q3lBTUZpc2V0Zy1XOG1HUjg1ejIyTGViVFotOFYwSWpPUXVIWjhGSWtZLTV5bU5yR1FNSzBLMThIdUdJMFl6RXc?oc=5","The Jerusalem Post","Israel","1789264805000"
"Three Iranian security force members killed by gunmen","https://news.google.com/rss/articles/CBMikAFBVV95cUxNMVdkY1ZCcjJ1SGtJc3ZBc2FJMkVlMllKZFRadjdWQXBJR20xUWw4TlZ6QnRrUXdTX3NEazhxMW9KZF9Mejk0RlZWLXlQSFFkR2hXMFI5dVJ6M3hnQXBVNXRsOXJwZ3BOcERvYkpkeUdqaVNDUGJJLUZqUXZUMVV3NW53aXhpVllUSUxrR21EU0Q?oc=5","Dawn","Pakistan","1789264669000"
"Iran, Iraq, Türkiye call for preventing escalation of tensions in West Asia","https://news.google.com/rss/articles/CBMifEFVX3lxTFBwYWtjWnpGU3lWQWlBMFl6TFFkUVJ0OGZVYkhXb3YxV0dDNGlOSUN0SlI3QmwtRkxQajU3TEYyNVZLczJRVFhfTFg5Q0ZpNHR0bkRpMkh4Q1drNm51cF9PUGxDYXUtWEtQZ0VUNk9xa25kd1pSMEdTR29LM0U?oc=5","Xinhua","China","1789264650000"
"Iran’s Pezeshkian: ‘We are not at war with Saudi Arabia’","https://news.google.com/rss/articles/CBMipgFBVV95cUxQeHA3a3UyRHhYdUVqM1pDbkVUbWhtNWlzcW9pNmd1c2lvYklOR1BmVFNLOUQ3bExtZFc3M2Z2NUk3eXgzQV9BRndhdzJWeGszczJuNHZ2ZEs0SElNR0U0V2xzdE0zQm1pY3Zqcnd5UWlzOV8wRUYxRmgtSzdkYnNZWWlIcUZmbVpiek85Unl0LW44UVc4WTZwMFhUWFVwWkc3cDBWOTRn0gGrAUFVX3lxTE0tMDJRY2lodTgyeHVibGpSQUZYSGZJMzhPV0ZqUC1lN09mbnhrd1VkX3VOVjZpN0pMN1dRSG4xZjFWTk1xWkFnSDNmSWprZF9ZNWhxQ3NZVzlFRXJJbEpYSXlEbXY0NVFRb1Q3eDdBNXRMRmVEc1JQeGs1WncteTBXWDdGcldxYkVJSVUzZ0VSYTI4b3ZnUGFITm41YzRHT2RKa2VtZTVDMy1Dcw?oc=5","Al Jazeera","Arab","1789263187000"
"Vessel struck by projectile while transiting Hormuz strait, UKMTO says","https://news.google.com/rss/articles/CBMitAFBVV95cUxOVHhOQUhIVDdBX2xiSm9pYjQ4bzktVFFzZGNSWXBVOVlDVFBucnEzVGh1VFFfTF9LN3FiLW1HTTdlTERfbHZwV1RQbHZTNl9DMlNadWM2Y2cyNG5jUDJLa0RpRzNlTWgwUm9iV2RQYmlLeWd6STJqUnhVRFA3TElxTElCXzNJd2Z0bzN0NTlCOXpZR2Fzb2F1RlJSNW1tNWZmY3I4c1plb01hcFEtdGJGQnN1aUo?oc=5","Arab News","Arab","1789262085000"
"New report of attack on Strait of Hormuz shipping fans fears of threats to oil supplies","https://news.google.com/rss/articles/CBMiwgFBVV95cUxOUGctZFpGTW5Zd0h2OFl3V0FMR3o0MHVxNW5uSmN6cHpfNWRYRS1Sd0dibnUwUDRCY3VHejJlbUdNVkx6VmN3WTJQVGYtRjRHX1dWQllyQWl3TzEyWWoxY0JRaU45U0RMUTd0SHBvYmRLZmN4bjl3VF82emtKY1JiQzlsN3NqLThWcDk0UEdmaTlHWjJWd0k1b1VtVmVVUFpSZnFhSEZPUk9oeFlTeU5ZcTJKUlJUZjd6d3d2QWJiYmR2UQ?oc=5","Reuters","Global","1789266120000"
