headline,link,source,region,published_at
"US military cannot corroborate reports of strikes on Iranian schools and hospitals","https://news.google.com/rss/articles/CBMilAFBVV95cUxNQVJPTk1mV3BJX0xteUFka0d4QVlSRlhteUJTTDZnWDA2UzYwVVpPWmNsT1drdlBHdk9ybVdVU3dPSU9iV0d3VVVWenpVakRkcXowbmZmSWlQUEZsd2tYNEhUWUFWS3NWUXp0REdqM0Q5M2FPdlpFckd5bDBwbXl2WFN5djlTVUZ6c2RPZ0JQYzZoNXI3?oc=5","The Independent","UK","1778803020000"
"Trump Says China is Supportive on Iran War as He Meets Xi in Beijing","https://news.google.com/rss/articles/CBMivwFBVV95cUxQLUN1ZTVhX3pXYVpxcTFBWjU1S2wta0t6dWZaQUlnYmFUM0stNEhsdzl5cVQ3Uk9qaUlEdGVTajVfZWhmMFpDZmZTVnVlSVNwV0owb0hyMGw2eWFNVlFXVGJudUhnNnJJVXVJVlAxaTJaVlhBb3lRUkNZaEFFVEI3bTFkOWtaWDdCbFRqM1N2SWhrZWMtNFoxTW4tMXY5bm1FSTBSSXRjWFZBS2J2Nmc1TXA1QXJmc0Rwa2dHY0d5TQ?oc=5","Bloomberg","Global","1778802691000"
"Trump: Xi Offered Help With Iran, Taiwan in Focus for US-China, More","https://news.google.com/rss/articles/CBMirAFBVV95cUxQOEdPRzluTGVLY0c0dzc1dm9td1drMDNSQVZ4cTZCN0UtY1Q3QUs5WVBOdDlQNXZyVFJkLWdrR21yMDVxSGQzRU96Y2lzS0RLdEtudDNpR2FBc3ZMTHY1dEpfX3VoLXhBYTE0XzlrSEkxWVRqTkVFYWo5RkVxSU9uUnd5dTNHNlBvYnBCQWNrekZSLV9pTnFwNzhIUUlKWDlJbjBTR0p1c0ktd2M4?oc=5","Bloomberg","Global","1778802355000"
"Iran parl. speaker warns US theatrics in Hormuz could trigger new global financial crisis","https://news.google.com/rss/articles/CBMikwFBVV95cUxNOVl5N0RiRi1oXzUwQlBiVmIwWnR3V1RCajVpMWx0OGRlQ3l3QldSNl9BbkRzTTV2YnJHRFB4VndXakFUS3VFRzI4a2kxc05qMmwwNWROWEpfeGl0OFg4dHlrV2x1OTdwYi1zQkx6Q25GWDc3dWJvaHVHMkJPcnl1dHFZOWZoRmVKX05pRnhQYkZjMnM?oc=5","Press TV","Iran","1778802240000"
"Iran's soccer team seen off in Tehran, head to Turkey next week for a training camp before flying to the United States.","https://news.google.com/rss/articles/CBMihAJBVV95cUxNdEJJT3dXalZsdUZIalpRcW83Y2xxRmJiZ2k5ci1YaFJZZldhX3ozQk9PaVhpTHZiaUpJd2htZk9yRkFwbGtrcDBEOGFNd09VZl94eWdzV1Fibnl6UHJNbm9HUDVFc3FsU05zb3MwclItcGlybWNublhDZUZwNEp5ZEt1LUlVcG9iNWI0U2tlMFJ2c2RkY1pwYThiN1VLREZxcXVsUDdSMmFNeVNvRXo4UXZONHJNdUZnOWgwbWVHcXE5WEtPTEwxYnFzdDVvWEZvLW54ZmFoV2hiOUFLSmlqV1pIcGxxZmhaOGZlemw1YUtCVXhEcGdOYWlHWFE2c3JPMG1fWg?oc=5","Associated Press","Global","1778801266000"
"Donald Trump’s allies pin hopes on Xi Jinping to defuse Strait of Hormuz crisis","https://news.google.com/rss/articles/CBMicEFVX3lxTE90N0dJaTRPRkw3RkFBMlBZa2NUanZlYUowUFlJMUF3bmMwNVpIbm9vdmI4UEZDVFNvZDVZT1pQZTI3MWFHVWtvOUl5eUdnMmNOTHlybzc5U2RkR3I0eUU2R21EcEgwSnpPanFUNjdjZk8?oc=5","Financial Times","Global","1778800096000"
"Emerging markets face Iran shocks with more debt, and less danger","https://news.google.com/rss/articles/CBMicEFVX3lxTE9teE0taFdfQ0o4V3RJOEg2bnFxN1JjQ0hlaXdWNDlzdFJoWF9LYXlTNnZfNlBrR0UwZDNFd1dpUG5lbk1qRWhIR0pQNnJCLTEzYjg1VHdJaDBkRjZyVEg4Tmgyc0tkRGJ4VWU3a0s5alY?oc=5","Financial Times","Global","1778799603000"
"India Takes Austerity Steps to Bolster Economy as Iran War Bites","https://news.google.com/rss/articles/CBMitgFBVV95cUxOa19KNzNlVXFVQThxcFdBS1lLTDVvc0Q4RmFGQ2V6clhyb0hZaFR1UTRlYzBLMHF4amM3WHJFSWJUTndiaVFvUnpobmFSR194QVhmNWk2R0YwcTZOU2ctcmVfUGtheERGMG84T2xxTXNxYVJHa0tUWkM5Rzl0aXk5TWhsdnczVTlrNElSdkxZWDBjODRqMk15NHJhUUdiNEZ4ck9KOEFldHlYZnNRU1VueHBFU2t0UQ?oc=5","Bloomberg","Global","1778799600000"
"Iran’s nuke-in-progress: Letters to the Editor — May 15, 2026","https://news.google.com/rss/articles/CBMieEFVX3lxTE1tYl9mbmxhcFVRUk5ZQXRpNHhHNXNIVW9ac3NEVXZJZi1XSHFTc1pIbnVhTExnUjRUSlJjc2lBbW1YckFHaXNfTTk5cXBrWldzeUlHR016V1dsNkhHU0hUU1hod2sxWXExNXlEY2VPX2pKM2hQazFuSQ?oc=5","New York Post","US","1778799540000"
"Effort to halt Iran war stalls in House despite rising GOP frustration","https://news.google.com/rss/articles/CBMiwwFBVV95cUxQT2xQYmlPWVBqMHZVVnlrMWlSTmpwN1lpMkJTV1Q3UkxzVElNcHA2c3BOYS1oY0toVFVTbzhHZF9KcmtrY1BiOFg3U3lqZ2lNdG0wWkZzazdUZWpZU3l6S0FFOG54QVdCd1Vpd3Q1a1VNTDVzVUgxQXZVblpnTWhyV0h2NjI0VGtLa2VkM0w4ZjRyTWgybXZ6eVhSbHRMWjlyVWpEZkNjdko2ekNIeXljZ3Q4OFJHMHN0UXJYYkd5dXVVRk0?oc=5","The Washington Post","US","1778799447000"
