headline,link,source,region,published_at
"Trump's dramatic plane swap hints at personal stakes of Iran war","https://news.google.com/rss/articles/CBMiWkFVX3lxTE9ra1N2dXFobmtMSmpCZHpKSi1vejdqeGpTeHdfTHQ3RnhTd0dudWlDV1NWN211a2FoVExtSjNmdjhucG0taXJZeGd2Wk9TTVFQZDgtcmJYYV9LUQ?oc=5","BBC","Global","1786493682000"
"US fires missiles at cargo ship violating Iran blockade - Al Jazeera","https://news.google.com/rss/articles/CBMizwFBVV95cUxQblBoOW1JYlhzUU1iMUlTOWthSEZQeTc5ZnZHMTMteUlsdlM3Sld5YTNfbTAyaFBEcVRYSTRiRlA0UW5JbnhJdTZkUVZnMHluRmV0RUVHcnh5R0lRS1FRS0tKNEFCVkpyTkZFTVNSNFlkb2V2SFF2Z195Q2h4bVlUWGEwUGR5b0JCelI1bzM3aHNOd2UzdTdtUUtpazBha2xsUERBb0x1ckt1a3o1eWhKT2ZMXzdXOEpaVmhCSzItNzZNT2J5b2NETWdWSUpIVnM?oc=5","Al Jazeera","Arab","1786493036000"
"Oil rises as doubts over US-Iran deal heighten supply concerns","https://news.google.com/rss/articles/CBMisAFBVV95cUxOajU2TkE4Zm1kOHlwM2hwX0VXeWJTNkFCblBrN0FuUDNfN1NMRFQ1NE1HREZGVE96UXMyajRlamxJaVZqMGxQNGRyZlBZQ2xnNVNEZjdBZ05zR25PWEFTNksxMk9iREoyNElfZ1h0aUdiTmFKdEJpZlJfUDk1d25ZTXptbnByMDFfRjk2R1oxZ29pNFZiQVhwTmRCaDIzUXdYSFlxZnl6aU05eG1WLWlQWg?oc=5","Reuters","Global","1786496280000"
"DODGING CROSSHAIRS: Reports reveal Trump's decoy in evading Iran's threat","https://news.google.com/rss/articles/CBMiVkFVX3lxTE1XazMxYlNKUUVza2xvUEVMd3FYLV9nRVRzQVgzclVKVkQ3U1BaaUhhM3djemZ4TXJVWjhDcUNZOFZ4YmZMN0E0TVozYjlDMDdnX3ZBTERn?oc=5","Fox News","US","1786495580000"
"Just 29% of expected midterm voters say they approve of Trump’s handling of Iran","https://news.google.com/rss/articles/CBMiqAFBVV95cUxNN2Q4RTZ1T1BkMG9tcXlTOGU0NEF5WU9DMVV3YjdVeEItYWJaUnpzOUFGWFBjUzB3ZmR4dE05Y3ZUVkM2bEJ5MDNiR2REWHBGQ3Y1SFNwVGJYUDdvTWNPNzB5WmVEZFJBdVlmWHJBMHNEcGhienFfU1JhUnJNREJ3QnhsMzJlZWwxNi15THRhLU9WNlczRnpoM2IxVzBDQlZ4Rjd2MW41blU?oc=5","The Independent","UK","1786495260000"
"Donald Trump praises Darline Graham, address Iran threat and secret plane switch","https://news.google.com/rss/articles/CBMiX0FVX3lxTE1mbDNhMzdGZm9EWGF3ZTBSZmRYUmd2X2ZDT04xRU1wMnVQVnBWSTBGdGtBUkZ4S1ljSEhsVVdGZlhPZWVrS3N6aE5xVVRzWHVqdHQzbEVqbHR6VFRjbWlv?oc=5","The Jerusalem Post","Israel","1786497805000"
"TRUMP: ""I DON'T TRUST IRAN""","https://news.google.com/rss/articles/CBMibkFVX3lxTFBaZmEtVXUzYkNFeGJ6SVl5dGdGVmhCYjFzYlFJam84emRaSVcyWFFBR3kteHBqV0ZjZm81ZGRzQlFZVTJuWXJRdnRXYTZnTzF2NVNDcGNJUndsLWZIRlo4cm8wcWhqbWpkRWRFNkxn?oc=5","CGTN","China","1786496580000"
"Trump claims US has 'total control' over Hormuz, says Iran 'the bully of the Mideast' but 'no longer'","https://news.google.com/rss/articles/CBMi1wFBVV95cUxNV2d2cFdFTlBSMDR1aE1qVWh3LVBLMkJFNzl6bTZTb3lJejZ4aTRMSVZCaExVU2Jtczd0am1ObHJyVHZpZ0dBMDdPbzFGRGVoMnE1RjBDckY0OGRFd1BPdTFLTkZ5dTFZWGdtUFNya1ZaVG53ZDJqTHVCcm9abS03cjRLcDhPQUdOVTNzT2hJQkpQdUhEWXVkRHU5VEgtRlFlb0NOS3c2aHFEUXU2b1hqZXhQQUNXdXU5ZjZXcWZKVTdOZEctS09pRkhrUW1xcmhDOU00ZzlYaw?oc=5","The Times of Israel","Israel","1786499774000"
"US helicopter fired on ship that tried to break Iran ports blockade","https://news.google.com/rss/articles/CBMiowFBVV95cUxPTXVpU2dSWFFUZ2g5R3VsT1IwcHNqRWZGbnJidC04WHFwR0NjdzNhMDlJNUY4cXJhNWtOWGsxcF9IVzNCMVRmei1SZGFuWnVQSGVtXy1XS09UWWpVUmNMNG9McWI1NEJXRV9NX0lzT20tZG5FWjNkVktSbUhUNDVQOG1RLXB6V1c0U3I4NTZyMVRNQWtyRHd3aVNLQUpxNVZjQmlN?oc=5","Dawn","Pakistan","1786499296000"
"The Blogs: Southern Eyes: Crushing Iran’s Western Terror Hub","https://news.google.com/rss/articles/CBMihwFBVV95cUxQNnVGb1R0V0dhblhETmsyM1RlenN2TnhjWHo3aFJnNVV0SGwtOXNPdGN5V2ZpaExTazM3Q1JzSXN6UU5wcWZ2VWsxVHR6bnpORjlqcHRSREh3NmdpcHJtc3NtUzBScFY1aF9NOF85dzBuYlJWX3puX3ZHczdjTmdYaUpZeXY5WGs?oc=5","The Times of Israel","Israel","1786499040000"
"Trump’s Iran approval plunges 24 points among voters","https://news.google.com/rss/articles/CBMilAFBVV95cUxQbElIRWx6cmxrTTlJRGNvMG5nM0IyZG5zNjJGblBJMlBuZFdlUjZPS3BBek9hRVB6RnBGVThjZlQ0TGx0aVlCeVFrUERmVUlrRm1GWjlXZ0hoOGVHOHVrdkNVUUo4N25MSHRJRjQyT2pqMWlaTy1aM1Jmc1NqMXFhM0FmU2RFaUkzSEplN2FmU3Bxa0xU?oc=5","The Independent","UK","1786499880000"
"Trump Said to Have Secretly Used Military Jet to Leave Turkey Amid Threats From Iran","https://news.google.com/rss/articles/CBMid0FVX3lxTFBUQjJsRHJrbjIzT3ROcFV2SzFUUmlpUXA4TENVOXRDekFqbDlISVV6cUxKX1I0ZDJwdm1iMjY0cWdKMW9ieTlneTludWFxZmVUNm02VjNFbnVpcHFfOC1LTW5TaTltMEx1QTBjUUg3TnFkQ2VXSWpV?oc=5","The New York Times","US","1786500180000"
"US-Iran deal back in sight amid fresh diplomatic push","https://news.google.com/rss/articles/CBMilAFBVV95cUxNTFRNS1g3OTgwZmxhcFVZRkFBcUVfMTJpcjREampMaE5RUktHUjhWdHhuNmVieVNsZ1JJdlM0UHZxN25nVzJJcEl4MnZOTTY4eEF2d29GYTNWT3BZZjhhYnFzNUhQME5xcl9MMWg0UFhhNVZoYnlxQUNZRkdFVk9OOGhpTEZSZ1dFRi13U214UVBuZUFF0gGcAUFVX3lxTE5LN0lwelpRSFhUUUNwMG95eXlBVndWeFF1NXBSbW5sU19ZVk1VZlNSd0k0QzlkSWZqNmhfbWhOUS1SWlFkTDBYLTNCRHRrYzBlalNpUHozZTNLaTAzeVE5bWtBTTVRLXNuSjlwOTV2Ui1PQzdOYkRnb01IcFl5eTNOZ1hPNVBJVzRldnBZdEtyN0w1dC15T1ZIWVFGaw?oc=5","The Express Tribune","Pakistan","1786500220000"
"Live Updates: Latest from Israel, Iran, and the Middle East","https://news.google.com/rss/articles/CBMif0FVX3lxTE9jdEJ0NDdBc3Y4Y09NNlFnNFVveC1tdk1Pajg4SW9CMHRxcTNYU1VtYVl5cGtpM0xyT1Q0Q24yNFVkb3E1WklRTGlsN1BqM2llSGtpQ1J1MFBRZFhVZVRndTZkYnRCb1hlUWZUc1lkdE03b3Z5UnBYR2Y1RjNkbUk?oc=5","The Jerusalem Post","Israel","1786500005000"
"Air Force One under shadow of Iran threat","https://news.google.com/rss/articles/CBMihAFBVV95cUxPRUhYZ0Q0b20wb1BtUTdQdmd4aG44UEhOOVpiNGs0ODlON01kT3J4VjhzQnhjQjh0bldfa3VmZ0dFNXZRTkVHc2xXNF83aVkzV0x2R2RnNWt4YTAxYmlCRVVUY1BhanFPTm9VRG1lT0tLSllIRjNXR1dKeHN4cm5ZeVh6dk7SAYwBQVVfeXFMTVBBSHlWazFkUms4c2hNSXVrXzBvMGNZMi1nWDZOR1M5TVVGT2hqVlFiYTQzY0FuNzlKUlY2YTdtbDE5QVBXeUxpam5aeEFodFp3aWV5N2ZGRnVVRHlCbG0tMVdmSkhsemVPU0NOZjI3UWJKQ1o1VDhEbDNEdU15WGwtRjlxd1pJbU5JX2k?oc=5","The Express Tribune","Pakistan","1786502826000"
"Iran holds firm on Hormuz conditions as Pakistan’s Naqvi visits Tehran","https://news.google.com/rss/articles/CBMirwFBVV95cUxPOFRsNlBTNUQteFdZZzVXYVhOTUk5SFJHZGVZR2hKQ0FiMmItUld5aURYOF8zT1MtSndXVUpQWkZOUmFrTEI0akg2OUFOMl84WVBwRmFYMHBTZ3hLdGlYdl9Gdkx0SW9SQ04wUWF3R2hZY2ViMTdWZWJPbkZ1MTc2cmh2eG1JYzl4Y200ZEpEWERiOGpDMHVteEFpT2JqSEw2TzZ2SE9MejJlV2JlTGNv0gG0AUFVX3lxTE5xWFE4SWVUVmxhd0o3dWotU09md0Y1bkdtYTZnc1hnY1dnRV9Ya0pyYTZIWG92N3E2S0lkUklTM2RRVTVVY3dIWXJLdS1OblZKWUtVOW1HOHE5Y3Y5eFQ0T3RPdzJXR25vWFhfTFJVZVVLbEo0cjlXRjVGVTVwaTBVRTFDdG05OEl2bnh2WGk2LTFpMk1sV1doVUhIRm9ybm9wTGEya1J0MVBLOXJRQW5fV2xINg?oc=5","Al Jazeera","Arab","1786502008000"
"Trump says US in 'total control' of Strait of Hormuz","https://news.google.com/rss/articles/CBMijAFBVV95cUxPeGFybV9uTXRZRTh2ZEZjQzJzRWJHUG1DSXNFZmtQNXZKTWlGQTZKTFdaZ2RyQmJRUFYxcjkwQjlmV2FrQmVubm03dHZvWjJ2eHRCdWVVVGxQNVZJcXYwS1FoWFlVZ2hNRzY5N1RjMEdHN2hNd2ZaeE5XdDFaYm5PNlphVWM3QlNJdmI1aQ?oc=5","Dawn","Pakistan","1786501290000"
"Oil rises as doubts over US-Iran deal heighten supply concerns","https://news.google.com/rss/articles/CBMinAFBVV95cUxOMEptSzl4bjZheVNvSUM1V1R5czJoeGhjZHU4WnFMYnVNeVNxOXpaUEtvRWxFazRlUG5maC12ajVueE03YnNwQUg3czl1THBGRzFjbnJQalpONjAtTTRnREdIQ0dQUG5tZUxBTVBja3ZscV9WQ0w2aUwzOG9HVzVWWV9MUEF1bU4zUHowVEpqZjlVeDJoeklFZVJ1LXk?oc=5","Dawn","Pakistan","1786501093000"
"Graham & Norman Head to SC Runoff, Pakistan Says Iran Deal Close, More","https://news.google.com/rss/articles/CBMirgFBVV95cUxQZGh4bEJRVFQyMlN5QVNhWG41SklSTENrcWh2RXZISDFkazhOSjloMkVkNVg2LXEzbzhwMU4xNW15RzlMLWpmdDRrN1VWYnpLLVNwVTFBMFFnQ1pqd0hmc2Q3QVQ2Umx5WGk1MGV6QWNTVmVSeW0xM0ZqMl9wTnBoeG5qQVcxZ2RsNVgwRXFBZi1VUjdYczRIR2ZVcUFpeGhXY3pQM0hkV1lxVGxwQ0E?oc=5","Bloomberg","Global","1786503267000"
"Trump secretly flew smaller jet out of Turkiye amid Iran threat: Washington Post","https://news.google.com/rss/articles/CBMiswFBVV95cUxOV2FFZEVzb1NYSWxQclpYUWlrQjd0dDFsVFk5ZjFWdzhEalg2bkdocDlIMXVqdUdOT1hYOWNVcDlUV2s5eHU3ZUV4bkZ1QllyQ0hKZVU5SUJ0NU1YMW5RajZTdkczZ0wtdUVPR2lHS29USkZpMV90bTRGNHBpM0wyc3NWaERnTFN4VmVDcnR1X1FUOUdDdHlLY1RKUHNCelhfQ3VYTUZ0RlRVV25KdkczZHVSMNIBTkFVX3lxTE9NV2NzNXVhZUotd3Z6LUZYcGtncXY5RW5BdlMtcTU0bmZlblFEcUNqYnJfamp5eC1wMl9mRXZXaXRwZHA0S3ZKbVdnUEVhQQ?oc=5","Dawn","Pakistan","1786504355000"
"New attacks on shipping as Iran war talks hit fresh impasse","https://news.google.com/rss/articles/CBMitwFBVV95cUxPYnR3emhtTmZ4TDhVTUFPM3BncXJ0bFZQT211Uko5U1hDalFwc0d2cVh4Q0lfM1F6ZkhkNkNXVnduYnMwcXVHUDJsYXY1NnJvbmpHbjJNN1RRZFNVbWdvVV9XR0puWnJyY1hiUV9xd1VmUWRhUktXWURzaGtRa0E2TnpUcWxxMklWTGtkZUYzQnlSUDBkRW40UDRwdkt4dHA2NWpfYlJ0QVlucklvbGdvUVRjUy0tUmc?oc=5","CGTN","China","1786503817000"
