headline,link,source,region,published_at
"US military says it shot down Iranian drones launched toward Strait of Hormuz","https://news.google.com/rss/articles/CBMivgFBVV95cUxOc2tadzlKU1dsQmttZ282QXNMT0VQQU4wYnlJNGdmVC1OSlpVNS1zVlgyTGtCcW5RUEg5cUpseHlmOGtaak12czJYaDNpRHNFMHZQZGJ6X3ZUUFFvbXdhZXk4VEQ4NVp6UE95RG9QUl9CME1UZTltZ0t6VFlsUkVIM3UzVm1za2FNN2N0ZkZTeTlqVHBaV25qLWxLUWNjTEVqN2Y1bjdSa1p6RlBQa3JCQnlYY3ZaYzR5SFRsSTB3?oc=5","The Washington Post","US","1780704105000"
"UN food agency says millions are being pushed into hunger by Iran war","https://news.google.com/rss/articles/CBMi2wFBVV95cUxOQUNEVHFYTUoxMVRKVkwzWmI4UXJHYWE4M3lvTFI5NGVieUx1b0pra2lGYzBxYkN5NGNRelk0QzFQWWZnWGVCWDdjdlI3TDhlZmxXa3JhN2xUb3pDaEJjOUV6MnpVSllwSm0wXzNCN2hCYjB5Wk5IYnZOZ0YtRFJ1VlJGRml3aGRNVlNxWHNRQVQyU0FIc0RZY3VUYTlHRjBmNGRNU1RON0J6ZEtiVEh4MXZKcTV1elZJUHNFWWNMXzRvMFZ6TXlJQ0pFLW9hcUhKTnpQcUtLNWU1NFE?oc=5","The Washington Post","US","1780704105000"
"US attacks Iranian coastal sites after Iran launches drones in latest flare-up","https://news.google.com/rss/articles/CBMiyAFBVV95cUxOZ1o1RDBJVGVQai1scDRmSmlnaWxVZlZBaDZyZUswRHNMY0c1N25BM053RXdmWGV5aGJkalg3V0lpUnpVOEFpUWY5YTBCY0syV1dmejdaUVlJVXZkc0tNVTQ2RmlTVWlEUVlDYkZEYl9yQVZ1QWtLVzZYNl9RRTBzaENsNlBVMWJCYjJLd0ZtdGlpUTljLVBhV0JlVDFJRWJwdm9YQjhIZ3BqdHdua2Z6TFMzS0xXbHhuZTFuNC0yWDhHaUlWSFo2MQ?oc=5","Reuters","Global","1780704120000"
"Urgent: U.S. attacks Iran's radar sites","https://news.google.com/rss/articles/CBMifEFVX3lxTE1xRVp1VnhMRGZQUlJCcXlHT1B2aE90MHFSYXBfc3Blb2VQN2JfcENPYmFXSjIxWjFEZ05nOFV0T1Z1amYweEppX2hjOFNUV05MOVFFMmU0YmZuT0V2OUZVcFVXY2hTRF9pWWhFS0NhaENhNXVENENQeC10bFU?oc=5","Xinhua","China","1780704360000"
"US strikes radar installations in Iran","https://news.google.com/rss/articles/CBMisgFBVV95cUxOd09aRGRGV0FlSVVQQXlSOFJJcTl2QmxhSkZ1T1l2XzFsdHBCOTZDSEJpLVlKdU9KOHEzVmJZNHlET1prTFc5bEdORmZ3S2lHaFlWUHdaM0ZoTDFQenI2dkpTOVRFMUNMNWZ5SUJaNnlJYkM0d3hvSGp0ZG9XeDl3OUxwYlFUZk9PSFVud0kxa3ZTS1pEN2Q5LW1lc0hfSUFrVDk5V3ZNUlNMWkVjU3JtOEhn?oc=5","Le Monde","Europe","1780706629000"
"Iran’s players get US visas for World Cup but some staff are refused entry","https://news.google.com/rss/articles/CBMiiwFBVV95cUxNT09LOVU4VEp0NUdHWVAwOE9ESlA0cktNZVBFaVcwc2dBbEt3YUJ2aWhZV0xabGlqbmlqV2xoVkhtMHJZMjZNdHU3bFhrd0tBVFc4RVlhcHhQRk5TZ0NUZWRWSkNjNUNOVzVnQ2R4LWZuWS1XQW9WZnpaTXlOeUFEVlMzX19qbTB4bjdv?oc=5","The Telegraph","UK","1780706280000"
"US confirms Iranian footballers granted visas for World Cup","https://news.google.com/rss/articles/CBMiqgFBVV95cUxNMWVXLUs5bzBic3Y3a05zR0pPcHc4d2RfaDctYkkzQ2JPa0dhOWpJUU4ycHpKYk5mYVBJeHpaNmYwS0Z1SG92QWxDMkF6ZnFFWWVwcktVUFRLUndiUERuR0lLWW5kY2hWcEdUX3UyYkhJMUhBdlBNMVVmQUpMSllBRG53Rm5LdExUcDZmOHJIMFhxN20zaEhLRUJzanVmT2xubHh3ejlvMzE4UQ?oc=5","France 24","Europe","1780706111000"
"US needs deal with Iran to lower gas prices, energy sec. says","https://news.google.com/rss/articles/CBMiX0FVX3lxTFAwak5WVXNBeFVvaVpKVGt4RG1hajhnRDRtTGNIdUNDcDZzY2lBVEVCTDJZMmRhOWtyWkVkTHFwNWVzQ2JSV0Z6M1FTMW1XVXcyZkVVek8yaExDdjZWalBz?oc=5","The Jerusalem Post","Israel","1780709261000"
"Pilgrims protest continued closure of Pak-Iran border","https://news.google.com/rss/articles/CBMikAFBVV95cUxOOUxWM2U4ODVVZVlmMERoTklfSy1ZU2RmcUU4VE42bUNINEdZRGpJNUhsdXN3NmJ2eGlOa2lpRV9FOXhxc1BCUlh3UEtkeWFUNmpRakNWQU4zUEU5dHdZdXhvemhTS0g5N1FvRUd4SXJjcE5HZ093U2pzUUlVOXNuZW9OVDFsa3ppdzZYNkQ1WjI?oc=5","Dawn","Pakistan","1780708095000"
"Iran’s World Cup players granted visas to enter US, says White House official","https://news.google.com/rss/articles/CBMirgFBVV95cUxOcVZnNFE1V2QwUy1qaVRKTUVmOG9jSVJ6TEozZDRoYnNSNEprRlRjMWpEVEJLczlyRjVwZHBZT2pkRjhIVXRUaER3bDlNN01tTEtJNWRHVlFFYVEwTzlLTjRDSkx0WjdONDhxUERjOFJFSUNVejA5cEFXWTdNQ2ZpcTRIbXgzSG1hTFpHQUl0WFJkM05oWThUeTJyOExYZF82YnVua1MwSk51UEFfYnc?oc=5","Dawn","Pakistan","1780708082000"
